Region,Sex,Age group,Year,"Rate (per 100,000)",Counts,Population
Canada,Males,'80+',2002,3728,11070,296910
Canada,Males,'35+',2003,940,75420,8019280
Canada,Males,'35-49',2003,353,13670,3868300
Canada,Males,'50-64',2003,889,23360,2627130
Canada,Males,'65-79',2003,2234,27140,1215130
Canada,Males,'80+',2003,3641,11240,308720
Canada,Males,'35+',2004,924,75240,8146010
Canada,Males,'35-49',2004,356,13790,3869090
Canada,Males,'50-64',2004,870,23700,2725670
Canada,Males,'65-79',2004,2140,26340,1231000
Canada,Males,'80+',2004,3557,11390,320240
Canada,Males,'35+',2005,891,73840,8286190
Canada,Males,'35-49',2005,350,13570,3876460
Canada,Males,'50-64',2005,854,24120,2824370
Canada,Males,'65-79',2005,2012,25200,1252410
Canada,Males,'80+',2005,3286,10940,332950
Canada,Males,'35+',2006,871,72740,8355730
Canada,Males,'35-49',2006,347,13280,3830550
Canada,Males,'50-64',2006,833,24160,2900580
Canada,Males,'65-79',2006,1910,24390,1276980
Canada,Males,'80+',2006,3138,10910,347620
Canada,Males,'35+',2007,896,75550,8434850
Canada,Males,'35-49',2007,383,14480,3781520
Canada,Males,'50-64',2007,860,25650,2982090
Canada,Males,'65-79',2007,1878,24570,1308300
Canada,Males,'80+',2007,2992,10860,362960
Canada,Males,'35+',2008,943,81850,8676710
Canada,Males,'35-49',2008,436,16610,3810360
Canada,Males,'50-64',2008,910,28420,3123790
Canada,Males,'65-79',2008,1871,25490,1362330
Canada,Males,'80+',2008,2975,11310,380210
Canada,Males,'35+',2009,980,86190,8795180
Canada,Males,'35-49',2009,436,16480,3781500
Canada,Males,'50-64',2009,965,31020,3215100
Canada,Males,'65-79',2009,1922,26960,1403060
Canada,Males,'80+',2009,2966,11730,395510
Canada,Males,'35+',2010,976,87140,8932670
Canada,Males,'35-49',2010,444,16690,3762410
Canada,Males,'50-64',2010,960,31780,3311210
Canada,Males,'65-79',2010,1853,26790,1445770
Canada,Males,'80+',2010,2879,11900,413300
Canada,Males,'35+',2011,930,84330,9064500
Canada,Males,'35-49',2011,415,15530,3742260
Canada,Males,'50-64',2011,899,30360,3376140
Canada,Males,'65-79',2011,1747,26480,1515870
Canada,Males,'80+',2011,2780,11960,430230
Canada,Males,'35+',2012,904,83190,9206150
Canada,Males,'35-49',2012,393,14620,3720050
Canada,Males,'50-64',2012,867,29870,3446770
Canada,Males,'65-79',2012,1669,26570,1591770
Canada,Males,'80+',2012,2706,12110,447540
Canada,Males,'35+',2013,883,82460,9343710
Canada,Males,'35-49',2013,371,13720,3699100
Canada,Males,'50-64',2013,860,30250,3517160
Canada,Males,'65-79',2013,1606,26730,1664480
Canada,Males,'80+',2013,2540,11760,462990
Canada,Males,'35+',2014,900,85170,9464930
Canada,Males,'35-49',2014,357,13170,3684600
Canada,Males,'50-64',2014,869,31040,3573450
Canada,Males,'65-79',2014,1632,28350,1736700
Canada,Males,'80+',2014,2684,12620,470200
Canada,Males,'35+',2015,870,83420,9591300
Canada,Males,'35-49',2015,343,12640,3689190
Canada,Males,'50-64',2015,850,30720,3612990
Canada,Males,'65-79',2015,1570,28360,1806730
Canada,Males,'80+',2015,2425,11700,482380
Canada,Males,'35+',2016,872,84910,9740800
Canada,Males,'35-49',2016,327,12170,3719500
Canada,Males,'50-64',2016,848,30850,3639910
Canada,Males,'65-79',2016,1585,29800,1880560
Canada,Males,'80+',2016,2418,12110,500840
Canada,Males,'35+',2017,857,84630,9871930
Canada,Males,'35-49',2017,320,11990,3752020
Canada,Males,'50-64',2017,837,30530,3646700
Canada,Males,'65-79',2017,1545,30190,1954160
Canada,Males,'80+',2017,2298,11930,519060
Newfoundland and Labrador,Both sexes,'35+',2008,1094,3300,301660
Newfoundland and Labrador,Both sexes,'35-49',2008,581,700,120380
Newfoundland and Labrador,Both sexes,'50-64',2008,1029,1180,114690
Newfoundland and Labrador,Both sexes,'65-79',2008,1910,970,50780
Newfoundland and Labrador,Both sexes,'80+',2008,2910,460,15810
Newfoundland and Labrador,Both sexes,'35+',2009,1044,3180,304490
Newfoundland and Labrador,Both sexes,'35-49',2009,595,710,119400
Newfoundland and Labrador,Both sexes,'50-64',2009,1037,1210,116700
Newfoundland and Labrador,Both sexes,'65-79',2009,1700,890,52350
Newfoundland and Labrador,Both sexes,'80+',2009,2307,370,16040
Newfoundland and Labrador,Both sexes,'35+',2010,925,2840,307100
Newfoundland and Labrador,Both sexes,'35-49',2010,475,560,117890
Newfoundland and Labrador,Both sexes,'50-64',2010,898,1060,118050
Newfoundland and Labrador,Both sexes,'65-79',2010,1496,820,54820
Newfoundland and Labrador,Both sexes,'80+',2010,2387,390,16340
Newfoundland and Labrador,Both sexes,'35+',2011,853,2640,309510
Newfoundland and Labrador,Both sexes,'35-49',2011,421,490,116290
Newfoundland and Labrador,Both sexes,'50-64',2011,749,890,118800
Newfoundland and Labrador,Both sexes,'65-79',2011,1522,880,57820
Newfoundland and Labrador,Both sexes,'80+',2011,2288,380,16610
Newfoundland and Labrador,Both sexes,'35+',2012,908,2830,311690
Newfoundland and Labrador,Both sexes,'35-49',2012,427,490,114800
Newfoundland and Labrador,Both sexes,'50-64',2012,872,1040,119270
Newfoundland and Labrador,Both sexes,'65-79',2012,1498,910,60750
Newfoundland and Labrador,Both sexes,'80+',2012,2370,400,16880
Newfoundland and Labrador,Both sexes,'35+',2013,870,2720,312820
Newfoundland and Labrador,Both sexes,'35-49',2013,391,440,112570
Newfoundland and Labrador,Both sexes,'50-64',2013,819,980,119650
Newfoundland and Labrador,Both sexes,'65-79',2013,1450,920,63430
Newfoundland and Labrador,Both sexes,'80+',2013,2269,390,17190
Newfoundland and Labrador,Both sexes,'35+',2014,927,2900,312920
Newfoundland and Labrador,Both sexes,'35-49',2014,399,440,110400
Newfoundland and Labrador,Both sexes,'50-64',2014,886,1060,119580
Newfoundland and Labrador,Both sexes,'65-79',2014,1504,990,65830
Newfoundland and Labrador,Both sexes,'80+',2014,2395,410,17120
Newfoundland and Labrador,Both sexes,'35+',2015,921,2880,312770
Newfoundland and Labrador,Both sexes,'35-49',2015,436,470,107680
Newfoundland and Labrador,Both sexes,'50-64',2015,932,1110,119040
Newfoundland and Labrador,Both sexes,'65-79',2015,1425,980,68750
Newfoundland and Labrador,Both sexes,'80+',2015,1851,320,17290
Newfoundland and Labrador,Both sexes,'35+',2016,950,2990,314790
Newfoundland and Labrador,Both sexes,'35-49',2016,423,450,106480
Newfoundland and Labrador,Both sexes,'50-64',2016,884,1050,118810
