Region,Sex,Age group,Year,"Rate (per 100,000)",Counts,Population
Canada,Males,'1+',2006,607,90200,14869750
Canada,Males,'1-19',2006,1470,47600,3237240
Canada,Males,'20-34',2006,349,10770,3086110
Canada,Males,'35-49',2006,345,12820,3715240
Canada,Males,'50-64',2006,346,10250,2960290
Canada,Males,'65-79',2006,460,6590,1433990
Canada,Males,'80+',2006,497,2170,436890
Canada,Males,'1+',2007,555,82830,14925040
Canada,Males,'1-19',2007,1331,42860,3219710
Canada,Males,'20-34',2007,319,9820,3082370
Canada,Males,'35-49',2007,320,11710,3656580
Canada,Males,'50-64',2007,328,9990,3041910
Canada,Males,'65-79',2007,430,6310,1468190
Canada,Males,'80+',2007,467,2130,456280
Canada,Males,'1+',2008,541,82690,15284850
Canada,Males,'1-19',2008,1326,43290,3265880
Canada,Males,'20-34',2008,296,9320,3147590
Canada,Males,'35-49',2008,313,11520,3677000
Canada,Males,'50-64',2008,316,10060,3186530
Canada,Males,'65-79',2008,413,6310,1529000
Canada,Males,'80+',2008,455,2180,478840
Canada,Males,'1+',2009,540,83240,15422500
Canada,Males,'1-19',2009,1348,43950,3260850
Canada,Males,'20-34',2009,297,9410,3166700
Canada,Males,'35-49',2009,314,11440,3641650
Canada,Males,'50-64',2009,310,10170,3281060
Canada,Males,'65-79',2009,391,6160,1574160
Canada,Males,'80+',2009,426,2120,498100
Canada,Males,'1+',2010,512,79970,15607810
Canada,Males,'1-19',2010,1321,43110,3264610
Canada,Males,'20-34',2010,265,8490,3201780
Canada,Males,'35-49',2010,291,10530,3615460
Canada,Males,'50-64',2010,289,9770,3382040
Canada,Males,'65-79',2010,368,5970,1623270
Canada,Males,'80+',2010,401,2090,520620
Canada,Males,'1+',2011,484,76460,15789520
Canada,Males,'1-19',2011,1235,40420,3271870
Canada,Males,'20-34',2011,245,7920,3234890
Canada,Males,'35-49',2011,274,9830,3589110
Canada,Males,'50-64',2011,286,9870,3450090
Canada,Males,'65-79',2011,365,6210,1701650
Canada,Males,'80+',2011,408,2210,541900
Canada,Males,'1+',2012,465,74340,15986540
Canada,Males,'1-19',2012,1169,38400,3286180
Canada,Males,'20-34',2012,231,7560,3269950
Canada,Males,'35-49',2012,275,9810,3561000
Canada,Males,'50-64',2012,281,9900,3521210
Canada,Males,'65-79',2012,359,6410,1784930
Canada,Males,'80+',2012,401,2260,563260
Canada,Males,'1+',2013,457,73900,16170970
Canada,Males,'1-19',2013,1128,37320,3308300
Canada,Males,'20-34',2013,234,7690,3292290
