Scenario,Region,Variable,Year,Value,Sector,Unit
Current Policies,Manitoba,Natural Gas,2022,0.2998,Electric Generation,Petajoules
Current Policies,Manitoba,RPP,2022,0.1585,Electric Generation,Petajoules
Current Policies,Manitoba,Other Renewables and Landfill Gas,2022,3.9116,Electric Generation,Petajoules
Current Policies,Manitoba,"Coal, Coke and Coke Oven Gas",2022,0,Electric Generation,Petajoules
Current Policies,Manitoba,Natural Gas,2023,0.2998,Electric Generation,Petajoules
Current Policies,Manitoba,RPP,2023,0.1583,Electric Generation,Petajoules
Current Policies,Manitoba,Other Renewables and Landfill Gas,2023,3.9116,Electric Generation,Petajoules
Current Policies,Manitoba,"Coal, Coke and Coke Oven Gas",2023,0,Electric Generation,Petajoules
Current Policies,Manitoba,Natural Gas,2024,0.2999,Electric Generation,Petajoules
Current Policies,Manitoba,RPP,2024,0.1584,Electric Generation,Petajoules
Current Policies,Manitoba,Other Renewables and Landfill Gas,2024,3.9116,Electric Generation,Petajoules
Current Policies,Manitoba,"Coal, Coke and Coke Oven Gas",2024,0,Electric Generation,Petajoules
Current Policies,Manitoba,Natural Gas,2025,0.2999,Electric Generation,Petajoules
Current Policies,Manitoba,RPP,2025,0.1584,Electric Generation,Petajoules
Current Policies,Manitoba,Other Renewables and Landfill Gas,2025,3.9116,Electric Generation,Petajoules
Current Policies,Manitoba,"Coal, Coke and Coke Oven Gas",2025,0,Electric Generation,Petajoules
Current Policies,Manitoba,Natural Gas,2026,3.3009,Electric Generation,Petajoules
Current Policies,Manitoba,RPP,2026,0.2933,Electric Generation,Petajoules
Current Policies,Manitoba,Other Renewables and Landfill Gas,2026,4.3403,Electric Generation,Petajoules
Current Policies,Manitoba,"Coal, Coke and Coke Oven Gas",2026,0,Electric Generation,Petajoules
Current Policies,Manitoba,Natural Gas,2027,3.6459,Electric Generation,Petajoules
Current Policies,Manitoba,RPP,2027,0.3135,Electric Generation,Petajoules
Current Policies,Manitoba,Other Renewables and Landfill Gas,2027,4.781,Electric Generation,Petajoules
Current Policies,Manitoba,"Coal, Coke and Coke Oven Gas",2027,0,Electric Generation,Petajoules
Current Policies,Manitoba,Natural Gas,2028,3.8424,Electric Generation,Petajoules
Current Policies,Manitoba,RPP,2028,0.3495,Electric Generation,Petajoules
Current Policies,Manitoba,Other Renewables and Landfill Gas,2028,5.2317,Electric Generation,Petajoules
Current Policies,Manitoba,"Coal, Coke and Coke Oven Gas",2028,0,Electric Generation,Petajoules
Current Policies,Manitoba,Natural Gas,2029,9.3362,Electric Generation,Petajoules
Current Policies,Manitoba,RPP,2029,0.5707,Electric Generation,Petajoules
Current Policies,Manitoba,Other Renewables and Landfill Gas,2029,5.7241,Electric Generation,Petajoules
Current Policies,Manitoba,"Coal, Coke and Coke Oven Gas",2029,0,Electric Generation,Petajoules
Current Policies,Manitoba,Natural Gas,2030,9.3363,Electric Generation,Petajoules
Current Policies,Manitoba,RPP,2030,0.5707,Electric Generation,Petajoules
Current Policies,Manitoba,Other Renewables and Landfill Gas,2030,6.2307,Electric Generation,Petajoules
Current Policies,Manitoba,"Coal, Coke and Coke Oven Gas",2030,0,Electric Generation,Petajoules
Current Policies,Manitoba,Natural Gas,2031,9.251,Electric Generation,Petajoules
Current Policies,Manitoba,RPP,2031,0.5706,Electric Generation,Petajoules
Current Policies,Manitoba,Other Renewables and Landfill Gas,2031,6.7412,Electric Generation,Petajoules
Current Policies,Manitoba,"Coal, Coke and Coke Oven Gas",2031,0,Electric Generation,Petajoules
Current Policies,Manitoba,Natural Gas,2032,9.0947,Electric Generation,Petajoules
Current Policies,Manitoba,RPP,2032,0.5707,Electric Generation,Petajoules
Current Policies,Manitoba,Other Renewables and Landfill Gas,2032,7.2585,Electric Generation,Petajoules
Current Policies,Manitoba,"Coal, Coke and Coke Oven Gas",2032,0,Electric Generation,Petajoules
Current Policies,Manitoba,Natural Gas,2033,9.0947,Electric Generation,Petajoules
Current Policies,Manitoba,RPP,2033,0.5706,Electric Generation,Petajoules
