Scenario,Region,Variable,Year,Value,Sector,Unit
Current Policies,British Columbia,"Coal, Coke and Coke Oven Gas",2031,0,Electric Generation,Petajoules
Current Policies,British Columbia,Natural Gas,2032,23.2488,Electric Generation,Petajoules
Current Policies,British Columbia,RPP,2032,1.8618,Electric Generation,Petajoules
Current Policies,British Columbia,Other Renewables and Landfill Gas,2032,41.4005,Electric Generation,Petajoules
Current Policies,British Columbia,"Coal, Coke and Coke Oven Gas",2032,0,Electric Generation,Petajoules
Current Policies,British Columbia,Natural Gas,2033,23.2016,Electric Generation,Petajoules
Current Policies,British Columbia,RPP,2033,1.8618,Electric Generation,Petajoules
Current Policies,British Columbia,Other Renewables and Landfill Gas,2033,41.4471,Electric Generation,Petajoules
Current Policies,British Columbia,"Coal, Coke and Coke Oven Gas",2033,0,Electric Generation,Petajoules
Current Policies,British Columbia,Natural Gas,2034,23.2016,Electric Generation,Petajoules
Current Policies,British Columbia,RPP,2034,1.8617,Electric Generation,Petajoules
Current Policies,British Columbia,Other Renewables and Landfill Gas,2034,41.3997,Electric Generation,Petajoules
Current Policies,British Columbia,"Coal, Coke and Coke Oven Gas",2034,0,Electric Generation,Petajoules
Current Policies,British Columbia,Natural Gas,2035,23.0234,Electric Generation,Petajoules
Current Policies,British Columbia,RPP,2035,1.8617,Electric Generation,Petajoules
Current Policies,British Columbia,Other Renewables and Landfill Gas,2035,43.0158,Electric Generation,Petajoules
Current Policies,British Columbia,"Coal, Coke and Coke Oven Gas",2035,0,Electric Generation,Petajoules
Current Policies,British Columbia,Natural Gas,2036,23.0431,Electric Generation,Petajoules
Current Policies,British Columbia,RPP,2036,1.8618,Electric Generation,Petajoules
Current Policies,British Columbia,Other Renewables and Landfill Gas,2036,44.513,Electric Generation,Petajoules
Current Policies,British Columbia,"Coal, Coke and Coke Oven Gas",2036,0,Electric Generation,Petajoules
Current Policies,British Columbia,Natural Gas,2037,22.9587,Electric Generation,Petajoules
Current Policies,British Columbia,RPP,2037,1.8617,Electric Generation,Petajoules
Current Policies,British Columbia,Other Renewables and Landfill Gas,2037,46.1481,Electric Generation,Petajoules
Current Policies,British Columbia,"Coal, Coke and Coke Oven Gas",2037,0,Electric Generation,Petajoules
Current Policies,British Columbia,Natural Gas,2038,23.2834,Electric Generation,Petajoules
Current Policies,British Columbia,RPP,2038,2.0204,Electric Generation,Petajoules
Current Policies,British Columbia,Other Renewables and Landfill Gas,2038,47.4706,Electric Generation,Petajoules
Current Policies,British Columbia,"Coal, Coke and Coke Oven Gas",2038,0,Electric Generation,Petajoules
Current Policies,British Columbia,Natural Gas,2039,23.5626,Electric Generation,Petajoules
Current Policies,British Columbia,RPP,2039,2.1476,Electric Generation,Petajoules
Current Policies,British Columbia,Other Renewables and Landfill Gas,2039,48.8087,Electric Generation,Petajoules
Current Policies,British Columbia,"Coal, Coke and Coke Oven Gas",2039,0,Electric Generation,Petajoules
Current Policies,British Columbia,Natural Gas,2040,23.2834,Electric Generation,Petajoules
Current Policies,British Columbia,RPP,2040,2.1476,Electric Generation,Petajoules
Current Policies,British Columbia,Other Renewables and Landfill Gas,2040,50.303,Electric Generation,Petajoules
Current Policies,British Columbia,"Coal, Coke and Coke Oven Gas",2040,0,Electric Generation,Petajoules
Current Policies,British Columbia,Natural Gas,2041,23.2835,Electric Generation,Petajoules
Current Policies,British Columbia,RPP,2041,2.0884,Electric Generation,Petajoules
Current Policies,British Columbia,Other Renewables and Landfill Gas,2041,51.8216,Electric Generation,Petajoules
Current Policies,British Columbia,"Coal, Coke and Coke Oven Gas",2041,0,Electric Generation,Petajoules
Current Policies,British Columbia,Natural Gas,2042,23.2736,Electric Generation,Petajoules
Current Policies,British Columbia,RPP,2042,1.8618,Electric Generation,Petajoules
Current Policies,British Columbia,Other Renewables and Landfill Gas,2042,53.3407,Electric Generation,Petajoules
Current Policies,British Columbia,"Coal, Coke and Coke Oven Gas",2042,0,Electric Generation,Petajoules
Current Policies,British Columbia,Natural Gas,2043,23.1857,Electric Generation,Petajoules
Current Policies,British Columbia,RPP,2043,2.0374,Electric Generation,Petajoules
Current Policies,British Columbia,Other Renewables and Landfill Gas,2043,54.584,Electric Generation,Petajoules
Current Policies,British Columbia,"Coal, Coke and Coke Oven Gas",2043,0,Electric Generation,Petajoules
Current Policies,British Columbia,Natural Gas,2044,23.1406,Electric Generation,Petajoules
Current Policies,British Columbia,RPP,2044,2.1476,Electric Generation,Petajoules
Current Policies,British Columbia,Other Renewables and Landfill Gas,2044,55.774,Electric Generation,Petajoules
Current Policies,British Columbia,"Coal, Coke and Coke Oven Gas",2044,0,Electric Generation,Petajoules
Current Policies,British Columbia,Natural Gas,2045,23.0885,Electric Generation,Petajoules
Current Policies,British Columbia,RPP,2045,2.1476,Electric Generation,Petajoules
Current Policies,British Columbia,Other Renewables and Landfill Gas,2045,57.2673,Electric Generation,Petajoules
Current Policies,British Columbia,"Coal, Coke and Coke Oven Gas",2045,0,Electric Generation,Petajoules
Current Policies,British Columbia,Natural Gas,2046,23.048,Electric Generation,Petajoules
Current Policies,British Columbia,RPP,2046,1.975,Electric Generation,Petajoules
Current Policies,British Columbia,Other Renewables and Landfill Gas,2046,58.69,Electric Generation,Petajoules
Current Policies,British Columbia,"Coal, Coke and Coke Oven Gas",2046,0,Electric Generation,Petajoules
Current Policies,British Columbia,Natural Gas,2047,23.0435,Electric Generation,Petajoules
Current Policies,British Columbia,RPP,2047,1.8618,Electric Generation,Petajoules
Current Policies,British Columbia,Other Renewables and Landfill Gas,2047,60.1752,Electric Generation,Petajoules
Current Policies,British Columbia,"Coal, Coke and Coke Oven Gas",2047,0,Electric Generation,Petajoules
Current Policies,British Columbia,Natural Gas,2048,23.048,Electric Generation,Petajoules
Current Policies,British Columbia,RPP,2048,1.8784,Electric Generation,Petajoules
Current Policies,British Columbia,Other Renewables and Landfill Gas,2048,61.4792,Electric Generation,Petajoules
Current Policies,British Columbia,"Coal, Coke and Coke Oven Gas",2048,0,Electric Generation,Petajoules
Current Policies,British Columbia,Natural Gas,2049,22.9486,Electric Generation,Petajoules
Current Policies,British Columbia,RPP,2049,1.8618,Electric Generation,Petajoules
Current Policies,British Columbia,Other Renewables and Landfill Gas,2049,62.764,Electric Generation,Petajoules
Current Policies,British Columbia,"Coal, Coke and Coke Oven Gas",2049,0,Electric Generation,Petajoules
Current Policies,British Columbia,Natural Gas,2050,23.0347,Electric Generation,Petajoules
Current Policies,British Columbia,RPP,2050,1.8617,Electric Generation,Petajoules
Current Policies,British Columbia,Other Renewables and Landfill Gas,2050,64.2092,Electric Generation,Petajoules
Current Policies,British Columbia,"Coal, Coke and Coke Oven Gas",2050,0,Electric Generation,Petajoules
Current Policies,Manitoba,Natural Gas,2005,0.7151,Electric Generation,Petajoules
Current Policies,Manitoba,RPP,2005,0.6098,Electric Generation,Petajoules
Current Policies,Manitoba,Other Renewables and Landfill Gas,2005,0.35,Electric Generation,Petajoules
Current Policies,Manitoba,"Coal, Coke and Coke Oven Gas",2005,1.6148,Electric Generation,Petajoules
Current Policies,Manitoba,Natural Gas,2006,0.7151,Electric Generation,Petajoules
Current Policies,Manitoba,RPP,2006,0.6202,Electric Generation,Petajoules
Current Policies,Manitoba,Other Renewables and Landfill Gas,2006,1.3825,Electric Generation,Petajoules
Current Policies,Manitoba,"Coal, Coke and Coke Oven Gas",2006,1.6148,Electric Generation,Petajoules
Current Policies,Manitoba,Natural Gas,2007,0.7151,Electric Generation,Petajoules
Current Policies,Manitoba,RPP,2007,0.6202,Electric Generation,Petajoules
Current Policies,Manitoba,Other Renewables and Landfill Gas,2007,1.3288,Electric Generation,Petajoules
Current Policies,Manitoba,"Coal, Coke and Coke Oven Gas",2007,1.6148,Electric Generation,Petajoules
Current Policies,Manitoba,Natural Gas,2008,0.4754,Electric Generation,Petajoules
Current Policies,Manitoba,RPP,2008,0.6306,Electric Generation,Petajoules
Current Policies,Manitoba,Other Renewables and Landfill Gas,2008,1.6955,Electric Generation,Petajoules
Current Policies,Manitoba,"Coal, Coke and Coke Oven Gas",2008,1.6638,Electric Generation,Petajoules
Current Policies,Manitoba,Natural Gas,2009,0.4753,Electric Generation,Petajoules
Current Policies,Manitoba,RPP,2009,0.4978,Electric Generation,Petajoules
Current Policies,Manitoba,Other Renewables and Landfill Gas,2009,1.3134,Electric Generation,Petajoules
Current Policies,Manitoba,"Coal, Coke and Coke Oven Gas",2009,2.0051,Electric Generation,Petajoules
Current Policies,Manitoba,Natural Gas,2010,0.1902,Electric Generation,Petajoules
Current Policies,Manitoba,RPP,2010,0.4981,Electric Generation,Petajoules
Current Policies,Manitoba,Other Renewables and Landfill Gas,2010,1.2342,Electric Generation,Petajoules
Current Policies,Manitoba,"Coal, Coke and Coke Oven Gas",2010,0.2322,Electric Generation,Petajoules
Current Policies,Manitoba,Natural Gas,2011,0.8632,Electric Generation,Petajoules
Current Policies,Manitoba,RPP,2011,0.9105,Electric Generation,Petajoules
Current Policies,Manitoba,Other Renewables and Landfill Gas,2011,2.688,Electric Generation,Petajoules
Current Policies,Manitoba,"Coal, Coke and Coke Oven Gas",2011,0.8097,Electric Generation,Petajoules
Current Policies,Manitoba,Natural Gas,2012,0.4375,Electric Generation,Petajoules
Current Policies,Manitoba,RPP,2012,0.2216,Electric Generation,Petajoules
Current Policies,Manitoba,Other Renewables and Landfill Gas,2012,3.3151,Electric Generation,Petajoules
Current Policies,Manitoba,"Coal, Coke and Coke Oven Gas",2012,0.8622,Electric Generation,Petajoules
Current Policies,Manitoba,Natural Gas,2013,0.5734,Electric Generation,Petajoules
Current Policies,Manitoba,RPP,2013,0.0737,Electric Generation,Petajoules
Current Policies,Manitoba,Other Renewables and Landfill Gas,2013,3.3364,Electric Generation,Petajoules
Current Policies,Manitoba,"Coal, Coke and Coke Oven Gas",2013,1.1219,Electric Generation,Petajoules
Current Policies,Manitoba,Natural Gas,2014,0.6042,Electric Generation,Petajoules
Current Policies,Manitoba,RPP,2014,0.0933,Electric Generation,Petajoules
Current Policies,Manitoba,Other Renewables and Landfill Gas,2014,3.4922,Electric Generation,Petajoules
Current Policies,Manitoba,"Coal, Coke and Coke Oven Gas",2014,1.1823,Electric Generation,Petajoules
Current Policies,Manitoba,Natural Gas,2015,0.4884,Electric Generation,Petajoules
Current Policies,Manitoba,RPP,2015,0.0929,Electric Generation,Petajoules
Current Policies,Manitoba,Other Renewables and Landfill Gas,2015,3.7749,Electric Generation,Petajoules
Current Policies,Manitoba,"Coal, Coke and Coke Oven Gas",2015,1.4509,Electric Generation,Petajoules
Current Policies,Manitoba,Natural Gas,2016,0.2291,Electric Generation,Petajoules
Current Policies,Manitoba,RPP,2016,0.3788,Electric Generation,Petajoules
Current Policies,Manitoba,Other Renewables and Landfill Gas,2016,3.9349,Electric Generation,Petajoules
Current Policies,Manitoba,"Coal, Coke and Coke Oven Gas",2016,0.4591,Electric Generation,Petajoules
Current Policies,Manitoba,Natural Gas,2017,0.2168,Electric Generation,Petajoules
Current Policies,Manitoba,RPP,2017,0.4465,Electric Generation,Petajoules
Current Policies,Manitoba,Other Renewables and Landfill Gas,2017,3.927,Electric Generation,Petajoules
Current Policies,Manitoba,"Coal, Coke and Coke Oven Gas",2017,0.4923,Electric Generation,Petajoules
Current Policies,Manitoba,Natural Gas,2018,0.1275,Electric Generation,Petajoules
Current Policies,Manitoba,RPP,2018,0.3808,Electric Generation,Petajoules
Current Policies,Manitoba,Other Renewables and Landfill Gas,2018,3.6271,Electric Generation,Petajoules
Current Policies,Manitoba,"Coal, Coke and Coke Oven Gas",2018,0.082,Electric Generation,Petajoules
Current Policies,Manitoba,Natural Gas,2019,0.2168,Electric Generation,Petajoules
Current Policies,Manitoba,RPP,2019,0.3414,Electric Generation,Petajoules
Current Policies,Manitoba,Other Renewables and Landfill Gas,2019,4.0467,Electric Generation,Petajoules
Current Policies,Manitoba,"Coal, Coke and Coke Oven Gas",2019,0,Electric Generation,Petajoules
Current Policies,Manitoba,Natural Gas,2020,0.5536,Electric Generation,Petajoules
Current Policies,Manitoba,RPP,2020,0.1594,Electric Generation,Petajoules
Current Policies,Manitoba,Other Renewables and Landfill Gas,2020,3.9117,Electric Generation,Petajoules
Current Policies,Manitoba,"Coal, Coke and Coke Oven Gas",2020,0,Electric Generation,Petajoules
Current Policies,Manitoba,Natural Gas,2021,0.9767,Electric Generation,Petajoules
Current Policies,Manitoba,RPP,2021,0.1727,Electric Generation,Petajoules
Current Policies,Manitoba,Other Renewables and Landfill Gas,2021,3.9117,Electric Generation,Petajoules
Current Policies,Manitoba,"Coal, Coke and Coke Oven Gas",2021,0,Electric Generation,Petajoules
